Data,Hora (UTC),Temp. Ins. (C),Umi. Ins. (%)
2024-07-01,0,19.4,36.0
2024-07-01,100,15.2,55.0
2024-07-01,200,14.6,58.0
2024-07-01,300,18.3,46.0
2024-07-01,400,18.6,46.0
2024-07-01,500,14.0,66.0
2024-07-01,600,14.0,67.0
2024-07-01,700,16.1,59.0
2024-07-01,800,12.1,75.0
2024-07-01,900,11.9,77.0
2024-07-01,1000,11.3,81.0
2024-07-01,1100,19.4,49.0
2024-07-01,1200,22.0,38.0
2024-07-01,1300,22.8,40.0
2024-07-01,1400,24.7,34.0
2024-07-01,1500,25.6,30.0
2024-07-01,1600,26.2,27.0
2024-07-01,1700,27.3,24.0
2024-07-01,1800,26.8,25.0
2024-07-01,1900,26.9,25.0
2024-07-01,2000,24.8,30.0
2024-07-01,2100,20.5,48.0
2024-07-01,2200,18.4,53.0
2024-07-02,0,16.6,63.0
2024-07-02,100,15.5,67.0
2024-07-02,200,19.6,48.0
2024-07-02,300,18.5,52.0
2024-07-02,400,18.1,51.0
2024-07-02,500,18.4,50.0
2024-07-02,600,18.4,50.0
2024-07-02,700,17.0,55.0
2024-07-02,800,12.5,75.0
2024-07-02,900,13.0,69.0
2024-07-02,1000,11.1,83.0
2024-07-02,1100,17.4,58.0
2024-07-02,1200,19.7,50.0
2024-07-02,1300,20.7,49.0
2024-07-02,1400,22.4,45.0
2024-07-02,1500,24.1,39.0
2024-07-02,1600,25.1,31.0
2024-07-02,1700,25.0,34.0
2024-07-02,1800,25.8,28.0
2024-07-02,1900,24.7,30.0
2024-07-02,2000,24.0,33.0
2024-07-02,2100,21.7,39.0
2024-07-02,2200,20.0,47.0
2024-07-02,2300,18.9,53.0
2024-07-03,0,18.4,60.0
2024-07-03,100,17.4,65.0
2024-07-03,200,16.6,69.0
2024-07-03,300,12.7,87.0
2024-07-03,400,12.9,86.0
2024-07-03,500,16.4,70.0
2024-07-03,600,16.6,70.0
2024-07-03,700,16.1,75.0
2024-07-03,800,16.1,77.0
2024-07-03,900,15.8,81.0
2024-07-03,1000,16.2,82.0
2024-07-03,1100,17.4,78.0
2024-07-03,1200,19.2,71.0
2024-07-03,1300,20.5,66.0
2024-07-03,1400,21.8,60.0
2024-07-03,1500,22.4,55.0
2024-07-03,1600,23.3,52.0
2024-07-03,1700,23.9,48.0
2024-07-03,1800,24.5,45.0
2024-07-03,1900,24.6,41.0
2024-07-03,2000,23.6,42.0
2024-07-03,2100,21.7,50.0
2024-07-03,2200,21.4,52.0
2024-07-03,2300,21.1,55.0
2024-07-04,0,20.7,59.0
2024-07-04,100,19.6,64.0
2024-07-04,200,18.5,68.0
2024-07-04,300,18.5,67.0
2024-07-04,400,18.2,66.0
2024-07-04,500,17.9,67.0
2024-07-04,600,15.4,81.0
2024-07-04,700,13.9,87.0
2024-07-04,800,13.4,89.0
2024-07-04,900,12.9,91.0
2024-07-04,1000,12.7,91.0
2024-07-04,1100,17.3,72.0
2024-07-04,1200,19.5,59.0
2024-07-04,1300,21.8,50.0
2024-07-04,1400,22.5,45.0
2024-07-04,1500,23.4,41.0
2024-07-04,1600,23.7,40.0
2024-07-04,1700,25.2,37.0
2024-07-04,1800,24.9,37.0
2024-07-04,1900,24.7,34.0
2024-07-04,2000,24.3,37.0
2024-07-04,2100,21.8,47.0
2024-07-04,2200,20.0,54.0
2024-07-04,2300,19.8,54.0
2024-07-05,0,18.9,58.0
2024-07-05,100,18.1,61.0
2024-07-05,200,18.0,61.0
2024-07-05,300,17.0,65.0
2024-07-05,400,16.7,66.0
2024-07-05,500,15.7,69.0
2024-07-05,600,13.3,78.0
2024-07-05,700,12.2,86.0
2024-07-05,800,14.0,74.0
2024-07-05,900,12.3,89.0
2024-07-05,1000,14.2,78.0
2024-07-05,1100,17.3,64.0
2024-07-05,1200,18.7,60.0
2024-07-05,1300,21.4,53.0
2024-07-05,1400,22.1,48.0
2024-07-05,1500,24.2,45.0
2024-07-05,1600,24.7,39.0
2024-07-05,1700,24.8,39.0
2024-07-05,1800,26.0,35.0
2024-07-05,1900,25.4,36.0
2024-07-05,2000,24.8,38.0
2024-07-05,2100,22.7,45.0
2024-07-05,2200,21.6,50.0
2024-07-05,2300,20.6,55.0
2024-07-06,0,19.1,58.0
2024-07-06,100,19.0,60.0
2024-07-06,200,18.5,61.0
2024-07-06,300,17.6,65.0
2024-07-06,400,17.4,67.0
2024-07-06,500,17.2,69.0
2024-07-06,600,14.8,80.0
2024-07-06,700,12.7,89.0
2024-07-06,800,12.0,90.0
2024-07-06,900,11.4,91.0
2024-07-06,1000,13.6,83.0
2024-07-06,1100,17.9,70.0
2024-07-06,1200,20.9,56.0
2024-07-06,1300,22.2,52.0
2024-07-06,1400,23.7,49.0
2024-07-06,1500,24.3,44.0
2024-07-06,1600,25.2,40.0
2024-07-06,1700,25.6,40.0
2024-07-06,1800,26.3,36.0
2024-07-06,1900,26.2,33.0
2024-07-06,2000,25.6,37.0
2024-07-06,2100,23.0,47.0
2024-07-06,2200,21.5,51.0
2024-07-06,2300,21.4,52.0
2024-07-07,0,20.8,55.0
2024-07-07,100,19.5,60.0
2024-07-07,200,19.3,59.0
2024-07-07,300,19.0,63.0
2024-07-07,400,18.3,67.0
2024-07-07,500,14.0,85.0
2024-07-07,600,13.5,85.0
2024-07-07,700,15.9,78.0
2024-07-07,800,16.2,74.0
2024-07-07,900,17.1,69.0
2024-07-07,1000,16.6,72.0
2024-07-07,1100,18.9,65.0
2024-07-07,1200,21.5,53.0
2024-07-07,1300,23.4,43.0
2024-07-07,1400,24.6,31.0
2024-07-07,1500,26.0,26.0
2024-07-07,1600,26.5,24.0
2024-07-07,1700,27.6,21.0
2024-07-07,1800,27.1,20.0
2024-07-07,1900,27.3,20.0
2024-07-07,2000,26.7,23.0
2024-07-07,2100,20.8,43.0
2024-07-07,2200,20.7,40.0
2024-07-07,2300,18.1,55.0
2024-07-08,0,16.9,57.0
2024-07-08,100,16.5,58.0
2024-07-08,200,15.5,62.0
2024-07-08,300,14.5,67.0
2024-07-08,400,14.9,62.0
2024-07-08,500,15.0,62.0
2024-07-08,600,13.2,71.0
2024-07-08,700,13.5,69.0
2024-07-08,800,13.1,72.0
2024-07-08,900,13.4,74.0
2024-07-08,1000,12.7,78.0
2024-07-08,1100,18.6,58.0
2024-07-08,1200,22.5,44.0
2024-07-08,1300,25.1,35.0
2024-07-08,1400,26.3,30.0
2024-07-08,1500,26.9,26.0
2024-07-08,1600,27.3,26.0
2024-07-08,1700,28.4,23.0
2024-07-08,1800,28.0,24.0
2024-07-08,1900,27.7,25.0
2024-07-08,2000,26.9,27.0
2024-07-08,2100,23.8,34.0
2024-07-08,2200,20.8,44.0
2024-07-08,2300,18.6,50.0
2024-07-09,0,17.6,56.0
2024-07-09,100,16.1,65.0
2024-07-09,200,16.3,65.0
2024-07-09,300,16.6,63.0
2024-07-09,400,15.1,71.0
2024-07-09,500,14.9,70.0
2024-07-09,600,14.5,69.0
2024-07-09,700,14.6,69.0
2024-07-09,800,13.4,75.0
2024-07-09,900,13.3,75.0
2024-07-09,1000,13.8,73.0
2024-07-09,1100,18.6,59.0
2024-07-09,1200,22.9,41.0
2024-07-09,1300,23.8,39.0
2024-07-09,1400,25.9,34.0
2024-07-09,1500,27.3,30.0
2024-07-09,1600,27.2,29.0
2024-07-09,1700,27.4,29.0
2024-07-09,1800,27.7,29.0
2024-07-09,1900,27.6,28.0
2024-07-09,2000,27.2,29.0
2024-07-09,2100,24.8,35.0
2024-07-09,2200,23.2,38.0
2024-07-09,2300,22.2,43.0
2024-07-10,0,21.4,46.0
2024-07-10,100,17.0,65.0
2024-07-10,200,15.8,71.0
2024-07-10,300,15.4,71.0
2024-07-10,400,15.8,67.0
2024-07-10,500,15.0,71.0
